                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51749,                 1.4682,                 2.8724,                 1.0055,                0.01029,                      1,                0.51508,                0.48779,                0.01029,                      1,                0.51016,                0.47249,                0.27406,                0.82629,                 2.8458,                0.90938,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                0.48037,                 1.0434,                 2.6356,                0.98199,                0.01024,                      1,                0.79215,                0.71528,                0.01024,                      1,                0.79215,                0.69956,                0.31462,                0.83571,                 2.8052,                0.88884,             0.00011623,             0.00011623,             0.00011623
                      3,                0.43133,                0.67341,                 1.9973,                0.94448,                0.01003,                      1,                0.92603,                0.82854,                0.01003,                      1,                0.92603,                0.82002,                0.33538,                0.99935,                 2.6083,                0.89929,             0.00018192,             0.00018192,             0.00018192
                      4,                0.44357,                0.66592,                 1.4255,                0.91767,                0.82662,                0.87348,                0.89914,                0.76727,                0.82662,                0.87348,                0.89914,                0.66887,                0.55911,                 1.3947,                 2.1367,                 1.0545,             0.00024708,             0.00024708,             0.00024708
                      5,                0.53706,                0.79872,                 1.3199,                0.94875,                 0.6972,                0.78057,                0.86208,                0.72836,                 0.6972,                0.78057,                0.86208,                0.68979,                 0.4432,                 1.1413,                 2.0104,                0.99838,             0.00031171,             0.00031171,             0.00031171
                      6,                0.52018,                0.59887,                 1.1548,                0.96871,                0.85071,                0.66667,                  0.853,                0.70135,                0.85071,                0.66667,                  0.853,                0.71344,                0.46805,                0.98706,                 1.9424,                 1.0275,             0.00037582,             0.00037582,             0.00037582
                      7,                0.50028,                0.61427,                 1.0923,                0.93586,                0.63893,                0.61111,                0.81179,                0.68563,                0.63893,                0.61111,                0.81179,                0.67387,                0.51186,                0.85891,                 2.0236,                 1.0418,              0.0004394,              0.0004394,              0.0004394
                      8,                0.55391,                0.72591,                 1.0687,                0.94628,                0.64424,                0.74203,                0.82427,                0.72147,                0.65243,                0.74974,                0.84008,                0.70711,                 0.5123,                 1.0761,                 2.0387,                  1.019,             0.00050245,             0.00050245,             0.00050245
                      9,                0.55863,                0.62003,                 1.0382,                0.94248,                0.78838,                0.80713,                 0.8706,                0.80335,                0.78838,                0.80713,                0.86945,                0.74105,                  0.508,                 1.3401,                 1.8318,                 1.0388,             0.00056497,             0.00056497,             0.00056497
                     10,                0.49174,                0.72862,                0.96779,                0.92542,                0.74126,                0.82132,                0.84154,                 0.7179,                0.74126,                0.82132,                0.83903,                0.68103,                0.65867,                 1.3695,                 1.8723,                 1.1243,             0.00062696,             0.00062696,             0.00062696
